,subj_idx,subnum_J,turkId, Private ID,Direction,PDI,PDI_GROUP,CAPS,CAPS_GROUP,ASI,ASI_GROUP,dospert,DOSPERT_GROUP,samples,SAMPLES_GROUP,ranks,gender,language,education,religion,crtFamiliarity,verbalReasoning,wordSum,crt,intuitive,cape,pdiDichot,beadsDraws,DTD_GROUP,la_bead,adj_3,adj_6,adj_9,overAdjust,ipr,pr,bade,evidenceInt,evidIntImp,bace,posResp,la_bade,attempts,unchanged_bade,unchanged_bead,checks_passed,inattentive,unresponsive,check_match,drift_rate,decision_trheshold,trial,rt,response
4092,enxakb,58,AN098C29EGJ6,1685050,Right,0,LPDI,8,LCAPS,2,LASI,100,HDOSPERT,7.833333333,HSAM,4.916666667,0,1,3,50,5.0,1.0,1.0,0.857142857,0.142857143,0,0,13,HDTD,76,0,-1,0,-1,49.5,0.5,-0.2775,1.0475,0.815,0.325,3.77375,0.41875,0,0,0,3,False,False,True,1.933284969,1.949084194,1,0.998802,0.9333333333333333
1669,nbokjb,429,A2LF84L3K71GR2,1685069,Left,29,HPDI,38,HCAPS,9,HASI,103,HDOSPERT,5.166666667,LSAM,7.333333333,0,1,1,25,5.0,0.75,0.714285714,0.857142857,0.142857143,2,3,12,HDTD,96,-10,-7,0,-17,62.5,0.5,-0.68125,-0.00375,0.48625,0.3675,4.335,0.2925,0,0,0,3,False,False,True,1.391337398,0.984300607,1,0.7521356666666666,0.8
2771,pwkakc,214,A2SS3OZESN3C5U,1687518,Right,62,HPDI,100,HCAPS,25,HASI,139,HDOSPERT,6.0,HSAM,5.333333333,1,1,4,100,5.0,0.5,0.785714286,0.714285714,0.285714286,5,7,24,HDTD,90,0,0,0,0,50.0,0.0,-0.4,0.90125,0.77125,0.28125,4.315,0.37375,0,0,0,3,False,False,True,0.605408774,2.715387211,1,1.841503,0.8666666666666667
2681,yydevv,427,A1ODA3Q5H6HTDQ,1699890,Left,6,LPDI,0,LCAPS,0,LASI,75,LDOSPERT,6.0,HSAM,4.333333333,0,1,2,0,5.0,1.0,0.642857143,0.714285714,0.0,1,1,14,HDTD,71,0,0,0,0,51.0,0.5,-0.37875,1.115,0.8425,0.3025,4.1725,0.48375,0,0,0,3,False,False,True,0.788332354,2.529535143,1,1.9365556666666668,0.8666666666666667
3674,maebir,107,ABSK9TAZ0NNRD,1700492,Right,48,HPDI,23,HCAPS,13,HASI,120,HDOSPERT,6.833333333,HSAM,4.416666667,1,1,1,25,3.0,0.75,0.642857143,0.428571429,0.428571429,3,4,9,LDTD,65,0,0,0,0,37.0,13.0,-0.43125,1.8775,1.18125,0.12625,4.86875,0.79125,2,0,0,3,False,False,True,0.634593919,2.954858851,1,2.362676833333333,0.9
3912,tjkaxf,362,A3GVUYY3TWRPZT,1708928,Left,71,HPDI,123,HCAPS,17,HASI,86,HDOSPERT,7.333333333,HSAM,3.416666667,0,1,3,10,4.0,0.75,0.857142857,0.714285714,0.142857143,5,8,8,LDTD,75,-10,-10,-5,-25,50.0,0.0,-0.11125,1.5025,1.01,0.22375,3.97625,0.4775,0,0,0,3,False,False,True,2.027442554,1.326352796,1,0.9043333333333333,0.9333333333333333
1729,zmsare,238,A24L4Y8HCZSUIF,1729445,Right,33,HPDI,8,LCAPS,19,HASI,76,LDOSPERT,5.333333333,LSAM,5.583333333,0,1,4,5,5.0,0.75,0.642857143,0.571428571,0.428571429,3,4,10,HDTD,76,-2,-2,-2,-6,52.0,1.0,-0.545,0.45625,0.6775,0.2375,4.04875,0.44875,0,0,0,3,False,False,True,-0.198060868,1.887544954,1,1.8135109999999999,0.4666666666666667
2473,lvffor,289,A2M6URTK6WO6XJ,1734533,Left,73,HPDI,57,HCAPS,6,LASI,80,LDOSPERT,5.833333333,HSAM,5.916666667,0,1,2,70,5.0,0.25,0.285714286,0.142857143,0.857142857,8,7,1,LDTD,77,-36,0,40,4,74.5,4.5,-0.76125,-0.23625,0.295,0.24,4.4125,0.1925,4,0,0,2,False,False,True,1.01096605,1.521632769,1,1.219976,0.8666666666666667
1262,yisbnq,980,A2S00V7RUU121E,1735196,Right,0,LPDI,11,LCAPS,9,HASI,85,HDOSPERT,4.833333333,LSAM,6.833333333,1,1,4,50,1.0,0.75,0.714285714,0.571428571,0.428571429,0,0,3,LDTD,18,0,0,0,0,33.5,28.0,-0.38125,0.925,0.78375,0.2925,4.35875,0.4025,0,1,1,3,False,False,True,0.520818033,2.285247298,1,2.074298,0.6333333333333333
2144,lrjxif,298,A33Z6BHAJUGCHY,1746319,Right,0,LPDI,12,LCAPS,9,HASI,72,LDOSPERT,5.666666667,HSAM,6.416666667,1,1,3,5,4.0,0.75,0.571428571,0.857142857,0.142857143,0,0,6,LDTD,50,-18,0,0,-18,58.0,0.5,-0.5625,0.96125,0.855,0.0825,4.95625,0.52125,0,0,0,3,False,False,True,0.000743893,2.654432807,1,2.13693,0.5
495,leknln,671,A122LRCSBAD6DC,1746425,Left,0,LPDI,0,LCAPS,2,LASI,53,LDOSPERT,4.166666667,LSAM,6.75,1,1,3,0,5.0,1.0,0.714285714,0.714285714,0.285714286,0,0,9,LDTD,60,-2,0,0,-2,52.0,1.0,-0.375,0.915,0.7975,0.30375,4.2975,0.42,0,1,0,3,False,False,True,1.260768787,1.579505998,1,1.0478303333333334,0.9333333333333333
56,lulglo,373,A9IC7BMHIPTYH,1747620,Right,27,HPDI,55,HCAPS,0,LASI,73,LDOSPERT,2.0,LSAM,6.333333333,0,1,3,50,5.0,1.0,0.928571429,0.571428571,0.428571429,3,3,11,HDTD,65,-2,-2,0,-4,50.0,1.0,-0.38,0.7075,0.7875,0.335,4.2275,0.3725,1,0,0,3,False,False,True,3.139862376,1.458537405,1,0.7111853333333333,1.0
1819,yuqpxr,242,A2MHM7JK1T9XHR,1747661,Left,44,HPDI,33,HCAPS,9,HASI,88,HDOSPERT,5.333333333,LSAM,6.75,0,1,5,0,4.0,1.0,0.857142857,0.714285714,0.285714286,4,5,12,HDTD,70,0,0,0,0,52.0,0.0,-0.27375,1.52125,1.00125,0.18125,5.0525,0.42125,0,0,0,3,False,False,True,0.671565462,1.934295209,1,1.7986229999999999,0.7333333333333333
0,srmclc,769,A1PUIGT83JOHH6,1749517,Left,51,HPDI,55,HCAPS,21,HASI,96,HDOSPERT,1.0,LSAM,4.25,1,1,1,100,5.0,0.25,0.642857143,0.571428571,0.285714286,6,6,8,LDTD,100,0,0,0,0,37.5,0.0,-0.39375,0.27375,0.55125,0.39,3.86375,0.35875,0,0,0,3,False,False,True,1.766367967,3.034942466,1,1.6603318333333335,0.9
176,qpblrs,690,A23RGG9LXG380R,1752613,Right,77,HPDI,89,HCAPS,15,HASI,96,HDOSPERT,2.833333333,LSAM,6.833333333,1,1,1,30,3.0,0.75,0.571428571,0.428571429,0.428571429,10,8,8,LDTD,69,0,0,4,4,54.5,0.5,-0.3475,1.1075,0.855,0.23375,4.4025,0.4225,0,0,0,2,False,False,True,1.244656732,2.919852538,1,1.5205198333333334,1.0
3733,oyrocc,533,A39ROW50DWRRKT,1752732,Left,0,LPDI,0,LCAPS,0,LASI,76,LDOSPERT,7.0,HSAM,4.083333333,1,1,2,0,5.0,0.0,0.714285714,0.0,0.571428571,0,0,4,LDTD,85,-24,8,-29,-45,63.0,30.5,-0.6475,0.08125,0.44,0.305,4.20625,0.23375,0,0,0,3,False,False,True,2.192539196,0.941210944,1,0.8123476666666666,0.9
30,dvnegr,42,A1VAL7L9L79IN0,1753771,Left,47,HPDI,28,HCAPS,7,HASI,71,LDOSPERT,1.833333333,LSAM,5.416666667,1,1,1,0,4.0,1.0,0.857142857,0.857142857,0.142857143,4,5,11,HDTD,65,-7,-6,-3,-16,52.5,4.5,-0.32,1.47875,0.99875,0.135,5.27,0.395,2,0,0,3,False,False,True,0.510161135,3.60721845,1,3.6423871153846155,0.7692307692307693
1849,ivuqkx,88,A3EHDY67QENKPT,1754422,Right,31,HPDI,18,HCAPS,6,LASI,92,HDOSPERT,5.333333333,LSAM,6.0,0,1,1,100,3.0,0.75,0.428571429,0.285714286,0.714285714,2,3,7,LDTD,75,-3,1,1,-1,48.5,5.0,-0.57875,-0.45375,0.24,0.45375,3.44375,0.12875,1,0,0,3,False,False,True,2.903780359,2.411033397,1,1.0337416666666668,1.0
907,cxgpcv,787,A2ELW44B0V3AYF,1755253,Right,58,HPDI,22,HCAPS,9,HASI,78,LDOSPERT,4.5,LSAM,7.0,0,1,3,50,3.0,1.0,0.857142857,0.714285714,0.285714286,6,7,25,HDTD,75,0,0,0,0,50.0,0.0,-0.4425,0.05625,0.38875,0.4825,2.73625,0.29125,0,0,0,3,False,False,True,1.032741476,1.798116849,1,1.0470191666666666,0.9
2917,tjcwst,190,A2FL477TMKC91L,1857875,Left,0,LPDI,0,LCAPS,0,LASI,80,LDOSPERT,6.166666667,HSAM,6.083333333,0,1,4,0,5.0,1.0,0.928571429,0.714285714,0.285714286,0,0,9,LDTD,89,-7,-3,0,-10,61.0,0.0,-0.6325,0.58625,0.58,0.23375,4.7025,0.27625,0,0,0,3,False,False,True,0.859438521,4.809403677,1,3.0885616666666666,0.9166666666666666
1639,kdasbb,566,A219Y0MX694TM2,1861506,Left,69,HPDI,71,HCAPS,17,HASI,87,HDOSPERT,5.166666667,LSAM,7.5,0,1,1,10,5.0,1.0,0.642857143,0.857142857,0.142857143,6,8,11,HDTD,80,0,0,0,0,55.0,0.5,-0.17625,1.45125,0.99,0.3575,4.30375,0.45625,0,3,0,3,False,False,True,2.207669294,1.795257439,1,1.1711075000000002,0.9666666666666667
705,dqhtdt,227,A3LNM77PCQOTHJ,1869206,Left,33,HPDI,0,LCAPS,12,HASI,152,HDOSPERT,4.333333333,LSAM,6.916666667,1,1,1,5,4.0,0.75,0.5,0.714285714,0.142857143,2,3,14,HDTD,56,-2,-1,-1,-4,51.0,0.0,-0.055,1.74875,0.97,0.15,3.1625,0.495,1,0,0,3,False,False,True,1.0520155,3.248172534,1,2.1527803448275864,0.896551724137931
1550,lcnkhc,541,A1JKHGRDXU18PM,1873608,Left,81,HPDI,8,LCAPS,7,HASI,88,HDOSPERT,5.0,LSAM,5.333333333,0,1,1,0,1.0,1.0,0.785714286,0.285714286,0.714285714,5,8,9,LDTD,100,0,0,0,0,62.5,25.0,-0.4,0.74875,0.70625,0.31,4.19875,0.4375,0,0,0,3,False,False,True,0.291261984,2.713703591,1,2.511793620689655,0.6551724137931034
3562,gjmveq,581,ALDKDKRBR4LXD,1886378,Right,119,HPDI,58,HCAPS,20,HASI,69,LDOSPERT,6.833333333,HSAM,5.666666667,1,1,2,100,4.0,0.0,0.571428571,0.571428571,0.285714286,8,11,1,LDTD,85,0,0,0,0,49.0,36.0,-0.3925,1.11375,0.8375,0.2025,3.94625,0.5,0,0,1,2,False,False,True,0.627882115,2.961465517,1,2.4911891666666666,0.8333333333333334
3823,cbqatf,889,A3ORD55TVUBUGT,1890090,Right,18,LPDI,0,LCAPS,1,LASI,115,HDOSPERT,7.0,HSAM,4.416666667,1,1,1,0,4.0,0.5,0.928571429,0.428571429,0.428571429,2,2,10,HDTD,75,0,0,0,0,50.0,1.0,-0.69375,0.16,0.46,0.155,4.31,0.31625,0,0,1,3,False,False,True,0.773658639,1.768139169,1,1.5242333333333333,0.7333333333333333
1909,rmbfso,896,AJM4334V07JDQ,1890094,Right,46,HPDI,47,HCAPS,4,LASI,119,HDOSPERT,5.333333333,LSAM,6.833333333,1,1,2,100,4.0,0.25,0.5,0.714285714,0.142857143,3,4,6,LDTD,51,-6,0,-7,-13,69.5,16.0,-0.42875,0.7175,0.78,0.37875,4.20875,0.43625,0,1,0,3,False,False,True,1.086459865,2.366672231,1,1.1576666666666666,0.9
820,fdrguw,294,AZZA3J049G7R5,1890097,Right,21,LPDI,31,HCAPS,8,HASI,61,LDOSPERT,4.5,LSAM,6.5,0,1,1,0,5.0,0.75,0.642857143,0.857142857,0.142857143,2,2,8,LDTD,63,-10,-9,0,-19,64.5,2.0,-0.82,-0.06625,0.36125,0.2,4.23875,0.325,0,0,0,3,False,False,True,1.27060737,2.026534053,1,1.4598791071428572,1.0
3644,fvpist,573,A1SOQ9Q35SASE4,1890102,Right,23,HPDI,33,HCAPS,14,HASI,97,HDOSPERT,6.833333333,HSAM,5.666666667,1,1,1,0,4.0,0.5,0.642857143,0.285714286,0.714285714,3,3,9,LDTD,78,0,0,0,0,50.0,0.0,-0.17625,0.9575,0.79875,0.41875,3.60125,0.31,0,0,0,3,False,False,True,1.354872904,1.885136162,1,1.1301191666666668,0.8666666666666667
1463,hhsspb,599,A1NVJB5O4H7ZCJ,1890124,Right,16,LPDI,46,HCAPS,3,LASI,76,LDOSPERT,5.0,LSAM,6.666666667,0,1,2,78,4.0,0.5,0.714285714,0.285714286,0.571428571,1,2,7,LDTD,87,-30,-6,-6,-42,59.5,22.5,-0.54,-0.0475,0.47125,0.31375,3.9475,0.305,0,0,0,2,False,False,True,1.00944749,2.528561959,1,2.1105487037037034,0.8518518518518519
1322,quuzps,815,A2LJ8NJVA2JRAM,1891399,Left,0,LPDI,0,LCAPS,0,LASI,94,HDOSPERT,4.833333333,LSAM,6.333333333,1,1,3,10,5.0,0.75,0.857142857,0.571428571,0.428571429,0,0,15,HDTD,80,0,0,10,10,51.0,5.5,-0.39125,0.98,0.7225,0.3075,4.05875,0.44875,1,1,0,3,False,False,True,0.404120455,2.482553092,1,2.9185714285714286,0.75
2174,jvoqsf,1,A3KKXA7COL5JHL,1891592,Left,0,LPDI,18,HCAPS,0,LASI,78,LDOSPERT,5.666666667,HSAM,7.0,1,1,2,0,5.0,0.0,0.785714286,0.857142857,0.142857143,0,0,12,HDTD,66,0,0,0,0,50.0,1.0,-0.07,1.26375,0.87625,0.265,2.935,0.44,0,3,0,3,False,False,True,3.118146996,2.226351709,1,0.8366666666666667,0.9333333333333333
1520,hidgwd,279,A16G6PPH1INQL8,1895116,Right,0,LPDI,34,HCAPS,4,LASI,84,HDOSPERT,5.0,LSAM,5.166666667,0,1,2,0,5.0,1.0,0.785714286,0.857142857,0.142857143,0,0,13,HDTD,93,0,0,11,11,49.5,0.5,-0.62,0.11875,0.51125,0.20125,4.3,0.35875,0,0,0,3,False,False,True,0.972676331,2.10727753,1,1.7565493333333333,0.8333333333333334
4152,igmvqy,592,AFWJT2RB6Y4SZ,1895248,Right,11,LPDI,26,HCAPS,5,LASI,108,HDOSPERT,8.0,HSAM,5.666666667,0,1,2,0,5.0,0.5,0.714285714,0.571428571,0.142857143,1,1,12,HDTD,74,0,0,0,0,49.5,0.5,-0.245,1.845,1.2325,0.12375,5.1025,0.585,0,1,0,3,False,False,True,0.727035206,3.254931787,1,2.2099545000000003,0.8666666666666667
1969,lsqepx,564,A2PBRGT71DUYOY,1895331,Left,15,LPDI,10,LCAPS,3,LASI,63,LDOSPERT,5.5,HSAM,7.666666667,0,1,2,0,3.0,0.5,0.857142857,0.857142857,0.142857143,1,2,27,HDTD,62,0,0,0,0,50.0,0.0,0.02,1.7375,1.02,0.29125,3.0975,0.5,0,2,1,3,False,False,True,0.163267516,2.344048092,1,2.3041223214285713,0.75
3031,atigwp,26,A2JCHN90PRUWDH,1895392,Left,0,LPDI,0,LCAPS,3,LASI,40,LDOSPERT,6.333333333,HSAM,6.416666667,1,1,1,50,1.0,0.75,0.0,0.714285714,0.285714286,0,0,1,LDTD,74,0,0,-10,-10,73.5,23.5,-0.19875,0.9475,0.865,0.39875,3.97125,0.335,1,0,1,2,False,False,True,0.771493536,2.347563534,1,2.3745165,0.8666666666666667
